    Finished `release` profile [optimized] target(s) in 0.02s
     Running `target/release/examples/soak`
Pre-flight self-test: OK
Modus: 28800 Sekunden (8.00 h)
VmRSS Start: 2120 kB

[   60.0s]       310242 Runden |    5171/s (Ø    5171/s) | Fehler 0 | Tamper 0/76 | RSS 2120 kB
[  120.0s]       624709 Runden |    5241/s (Ø    5206/s) | Fehler 0 | Tamper 0/153 | RSS 2120 kB
[  180.0s]       936065 Runden |    5189/s (Ø    5200/s) | Fehler 0 | Tamper 0/229 | RSS 2120 kB
[  240.0s]      1251522 Runden |    5258/s (Ø    5215/s) | Fehler 0 | Tamper 0/306 | RSS 2120 kB
[  300.0s]      1568897 Runden |    5290/s (Ø    5230/s) | Fehler 0 | Tamper 0/384 | RSS 2120 kB
[  360.0s]      1887487 Runden |    5310/s (Ø    5243/s) | Fehler 0 | Tamper 0/461 | RSS 2120 kB
[  420.0s]      2203433 Runden |    5266/s (Ø    5246/s) | Fehler 0 | Tamper 0/538 | RSS 2120 kB
[  480.0s]      2508792 Runden |    5089/s (Ø    5227/s) | Fehler 0 | Tamper 0/613 | RSS 2120 kB
[  540.0s]      2826074 Runden |    5288/s (Ø    5233/s) | Fehler 0 | Tamper 0/690 | RSS 2120 kB
[  600.0s]      3141933 Runden |    5264/s (Ø    5237/s) | Fehler 0 | Tamper 0/768 | RSS 2120 kB
[  660.0s]      3458856 Runden |    5282/s (Ø    5241/s) | Fehler 0 | Tamper 0/845 | RSS 2120 kB
[  720.0s]      3771898 Runden |    5217/s (Ø    5239/s) | Fehler 0 | Tamper 0/921 | RSS 2120 kB
[  780.0s]      4071343 Runden |    4991/s (Ø    5220/s) | Fehler 0 | Tamper 0/994 | RSS 2120 kB
[  840.0s]      4387930 Runden |    5276/s (Ø    5224/s) | Fehler 0 | Tamper 0/1072 | RSS 2120 kB
[  900.0s]      4703514 Runden |    5260/s (Ø    5226/s) | Fehler 0 | Tamper 0/1149 | RSS 2120 kB
[  960.0s]      5019731 Runden |    5270/s (Ø    5229/s) | Fehler 0 | Tamper 0/1226 | RSS 2120 kB
[ 1020.0s]      5333151 Runden |    5224/s (Ø    5229/s) | Fehler 0 | Tamper 0/1303 | RSS 2120 kB
[ 1080.0s]      5644150 Runden |    5183/s (Ø    5226/s) | Fehler 0 | Tamper 0/1378 | RSS 2120 kB
[ 1140.0s]      5958353 Runden |    5237/s (Ø    5227/s) | Fehler 0 | Tamper 0/1455 | RSS 2120 kB
[ 1200.0s]      6274642 Runden |    5271/s (Ø    5229/s) | Fehler 0 | Tamper 0/1532 | RSS 2120 kB
[ 1260.0s]      6587829 Runden |    5220/s (Ø    5228/s) | Fehler 0 | Tamper 0/1609 | RSS 2120 kB
[ 1320.0s]      6903614 Runden |    5263/s (Ø    5230/s) | Fehler 0 | Tamper 0/1686 | RSS 2120 kB
[ 1380.0s]      7211505 Runden |    5132/s (Ø    5226/s) | Fehler 0 | Tamper 0/1761 | RSS 2120 kB
[ 1440.0s]      7526885 Runden |    5256/s (Ø    5227/s) | Fehler 0 | Tamper 0/1838 | RSS 2120 kB
[ 1500.0s]      7844228 Runden |    5289/s (Ø    5229/s) | Fehler 0 | Tamper 0/1916 | RSS 2120 kB
[ 1560.0s]      8159392 Runden |    5253/s (Ø    5230/s) | Fehler 0 | Tamper 0/1993 | RSS 2120 kB
[ 1620.0s]      8471322 Runden |    5199/s (Ø    5229/s) | Fehler 0 | Tamper 0/2069 | RSS 2120 kB
[ 1680.0s]      8781266 Runden |    5166/s (Ø    5227/s) | Fehler 0 | Tamper 0/2144 | RSS 2120 kB
[ 1740.0s]      9097935 Runden |    5278/s (Ø    5229/s) | Fehler 0 | Tamper 0/2222 | RSS 2120 kB
[ 1800.0s]      9410051 Runden |    5202/s (Ø    5228/s) | Fehler 0 | Tamper 0/2298 | RSS 2120 kB
[ 1860.0s]      9721956 Runden |    5198/s (Ø    5227/s) | Fehler 0 | Tamper 0/2374 | RSS 2120 kB
[ 1920.0s]     10034271 Runden |    5205/s (Ø    5226/s) | Fehler 0 | Tamper 0/2450 | RSS 2120 kB
[ 1980.0s]     10339874 Runden |    5093/s (Ø    5222/s) | Fehler 0 | Tamper 0/2525 | RSS 2120 kB
[ 2040.0s]     10656064 Runden |    5270/s (Ø    5224/s) | Fehler 0 | Tamper 0/2602 | RSS 2120 kB
[ 2100.0s]     10972697 Runden |    5277/s (Ø    5225/s) | Fehler 0 | Tamper 0/2679 | RSS 2120 kB
[ 2160.0s]     11289132 Runden |    5274/s (Ø    5226/s) | Fehler 0 | Tamper 0/2757 | RSS 2120 kB
[ 2220.0s]     11602188 Runden |    5218/s (Ø    5226/s) | Fehler 0 | Tamper 0/2833 | RSS 2120 kB
[ 2280.0s]     11910643 Runden |    5141/s (Ø    5224/s) | Fehler 0 | Tamper 0/2908 | RSS 2120 kB
[ 2340.0s]     12224374 Runden |    5229/s (Ø    5224/s) | Fehler 0 | Tamper 0/2985 | RSS 2120 kB
[ 2400.0s]     12539785 Runden |    5257/s (Ø    5225/s) | Fehler 0 | Tamper 0/3062 | RSS 2120 kB
[ 2460.0s]     12855203 Runden |    5257/s (Ø    5226/s) | Fehler 0 | Tamper 0/3139 | RSS 2120 kB
[ 2520.0s]     13172014 Runden |    5280/s (Ø    5227/s) | Fehler 0 | Tamper 0/3216 | RSS 2120 kB
[ 2580.0s]     13479042 Runden |    5117/s (Ø    5224/s) | Fehler 0 | Tamper 0/3291 | RSS 2120 kB
[ 2640.0s]     13794591 Runden |    5259/s (Ø    5225/s) | Fehler 0 | Tamper 0/3368 | RSS 2120 kB
[ 2700.0s]     14110672 Runden |    5268/s (Ø    5226/s) | Fehler 0 | Tamper 0/3445 | RSS 2120 kB
[ 2760.0s]     14428044 Runden |    5290/s (Ø    5228/s) | Fehler 0 | Tamper 0/3523 | RSS 2120 kB
[ 2820.0s]     14744031 Runden |    5266/s (Ø    5228/s) | Fehler 0 | Tamper 0/3600 | RSS 2120 kB
[ 2880.0s]     15056166 Runden |    5202/s (Ø    5228/s) | Fehler 0 | Tamper 0/3676 | RSS 2120 kB
[ 2940.0s]     15370029 Runden |    5231/s (Ø    5228/s) | Fehler 0 | Tamper 0/3753 | RSS 2120 kB
[ 3000.0s]     15688896 Runden |    5314/s (Ø    5230/s) | Fehler 0 | Tamper 0/3831 | RSS 2120 kB
[ 3060.0s]     16004720 Runden |    5264/s (Ø    5230/s) | Fehler 0 | Tamper 0/3908 | RSS 2120 kB
[ 3120.0s]     16319483 Runden |    5246/s (Ø    5231/s) | Fehler 0 | Tamper 0/3985 | RSS 2120 kB
[ 3180.0s]     16631778 Runden |    5205/s (Ø    5230/s) | Fehler 0 | Tamper 0/4061 | RSS 2120 kB
[ 3240.0s]     16946497 Runden |    5245/s (Ø    5230/s) | Fehler 0 | Tamper 0/4138 | RSS 2120 kB
[ 3300.0s]     17262342 Runden |    5264/s (Ø    5231/s) | Fehler 0 | Tamper 0/4215 | RSS 2120 kB
[ 3360.0s]     17579099 Runden |    5279/s (Ø    5232/s) | Fehler 0 | Tamper 0/4292 | RSS 2120 kB
[ 3420.0s]     17893901 Runden |    5247/s (Ø    5232/s) | Fehler 0 | Tamper 0/4369 | RSS 2120 kB
[ 3480.0s]     18206430 Runden |    5209/s (Ø    5232/s) | Fehler 0 | Tamper 0/4445 | RSS 2120 kB
[ 3540.0s]     18522910 Runden |    5275/s (Ø    5232/s) | Fehler 0 | Tamper 0/4523 | RSS 2120 kB
[ 3600.0s]     18838509 Runden |    5260/s (Ø    5233/s) | Fehler 0 | Tamper 0/4600 | RSS 2120 kB
[ 3660.0s]     19155521 Runden |    5284/s (Ø    5234/s) | Fehler 0 | Tamper 0/4677 | RSS 2120 kB
[ 3720.0s]     19468046 Runden |    5209/s (Ø    5233/s) | Fehler 0 | Tamper 0/4753 | RSS 2120 kB
[ 3780.0s]     19771369 Runden |    5055/s (Ø    5230/s) | Fehler 0 | Tamper 0/4827 | RSS 2120 kB
[ 3840.0s]     20086030 Runden |    5244/s (Ø    5231/s) | Fehler 0 | Tamper 0/4904 | RSS 2120 kB
[ 3900.0s]     20402670 Runden |    5277/s (Ø    5231/s) | Fehler 0 | Tamper 0/4982 | RSS 2120 kB
[ 3960.0s]     20718897 Runden |    5270/s (Ø    5232/s) | Fehler 0 | Tamper 0/5059 | RSS 2120 kB
[ 4020.0s]     21035339 Runden |    5274/s (Ø    5233/s) | Fehler 0 | Tamper 0/5136 | RSS 2120 kB
[ 4080.0s]     21351107 Runden |    5263/s (Ø    5233/s) | Fehler 0 | Tamper 0/5213 | RSS 2120 kB
[ 4140.0s]     21667724 Runden |    5277/s (Ø    5234/s) | Fehler 0 | Tamper 0/5290 | RSS 2120 kB
[ 4200.0s]     21983852 Runden |    5269/s (Ø    5234/s) | Fehler 0 | Tamper 0/5368 | RSS 2120 kB
