    Finished `release` profile [optimized] target(s) in 0.03s
     Running `target/release/examples/soak`
Pre-flight self-test: OK
Modus: 21572 Sekunden (5.99 h)
VmRSS Start: 2104 kB

[   60.0s]       315297 Runden |    5255/s (Ø    5255/s) | Fehler 0 | Tamper 0/77 | RSS 2104 kB
[  120.0s]       626058 Runden |    5179/s (Ø    5217/s) | Fehler 0 | Tamper 0/153 | RSS 2104 kB
[  180.0s]       941243 Runden |    5253/s (Ø    5229/s) | Fehler 0 | Tamper 0/230 | RSS 2104 kB
[  240.0s]      1253950 Runden |    5212/s (Ø    5225/s) | Fehler 0 | Tamper 0/307 | RSS 2104 kB
[  300.0s]      1571457 Runden |    5292/s (Ø    5238/s) | Fehler 0 | Tamper 0/384 | RSS 2104 kB
[  360.0s]      1886026 Runden |    5243/s (Ø    5239/s) | Fehler 0 | Tamper 0/461 | RSS 2104 kB
[  420.0s]      2197118 Runden |    5185/s (Ø    5231/s) | Fehler 0 | Tamper 0/537 | RSS 2104 kB
[  480.0s]      2513175 Runden |    5268/s (Ø    5236/s) | Fehler 0 | Tamper 0/614 | RSS 2104 kB
[  540.0s]      2827617 Runden |    5241/s (Ø    5236/s) | Fehler 0 | Tamper 0/691 | RSS 2104 kB
[  600.0s]      3142438 Runden |    5247/s (Ø    5237/s) | Fehler 0 | Tamper 0/768 | RSS 2104 kB
[  660.0s]      3459725 Runden |    5288/s (Ø    5242/s) | Fehler 0 | Tamper 0/845 | RSS 2104 kB
[  720.0s]      3768488 Runden |    5146/s (Ø    5234/s) | Fehler 0 | Tamper 0/921 | RSS 2104 kB
[  780.0s]      4082535 Runden |    5234/s (Ø    5234/s) | Fehler 0 | Tamper 0/997 | RSS 2104 kB
[  840.0s]      4397454 Runden |    5249/s (Ø    5235/s) | Fehler 0 | Tamper 0/1074 | RSS 2104 kB
[  900.0s]      4712405 Runden |    5249/s (Ø    5236/s) | Fehler 0 | Tamper 0/1151 | RSS 2104 kB
[  960.0s]      5025789 Runden |    5223/s (Ø    5235/s) | Fehler 0 | Tamper 0/1227 | RSS 2104 kB
[ 1020.0s]      5333871 Runden |    5135/s (Ø    5229/s) | Fehler 0 | Tamper 0/1303 | RSS 2104 kB
[ 1080.0s]      5648304 Runden |    5241/s (Ø    5230/s) | Fehler 0 | Tamper 0/1379 | RSS 2104 kB
[ 1140.0s]      5964066 Runden |    5263/s (Ø    5232/s) | Fehler 0 | Tamper 0/1457 | RSS 2104 kB
[ 1200.0s]      6281152 Runden |    5285/s (Ø    5234/s) | Fehler 0 | Tamper 0/1534 | RSS 2104 kB
[ 1260.0s]      6596378 Runden |    5254/s (Ø    5235/s) | Fehler 0 | Tamper 0/1611 | RSS 2104 kB
[ 1320.0s]      6907915 Runden |    5192/s (Ø    5233/s) | Fehler 0 | Tamper 0/1687 | RSS 2104 kB
[ 1380.0s]      7221126 Runden |    5220/s (Ø    5233/s) | Fehler 0 | Tamper 0/1763 | RSS 2104 kB
[ 1440.0s]      7537050 Runden |    5265/s (Ø    5234/s) | Fehler 0 | Tamper 0/1841 | RSS 2104 kB
[ 1500.0s]      7853195 Runden |    5269/s (Ø    5235/s) | Fehler 0 | Tamper 0/1918 | RSS 2104 kB
[ 1560.0s]      8164677 Runden |    5191/s (Ø    5234/s) | Fehler 0 | Tamper 0/1994 | RSS 2104 kB
[ 1620.0s]      8470772 Runden |    5102/s (Ø    5229/s) | Fehler 0 | Tamper 0/2069 | RSS 2104 kB
[ 1680.0s]      8786345 Runden |    5260/s (Ø    5230/s) | Fehler 0 | Tamper 0/2146 | RSS 2104 kB
[ 1740.0s]      9100877 Runden |    5242/s (Ø    5230/s) | Fehler 0 | Tamper 0/2222 | RSS 2104 kB
[ 1800.0s]      9411954 Runden |    5185/s (Ø    5229/s) | Fehler 0 | Tamper 0/2298 | RSS 2104 kB
[ 1860.0s]      9728513 Runden |    5276/s (Ø    5230/s) | Fehler 0 | Tamper 0/2376 | RSS 2104 kB
[ 1920.0s]     10039839 Runden |    5189/s (Ø    5229/s) | Fehler 0 | Tamper 0/2452 | RSS 2104 kB
[ 1980.0s]     10351968 Runden |    5202/s (Ø    5228/s) | Fehler 0 | Tamper 0/2528 | RSS 2104 kB
[ 2040.0s]     10667427 Runden |    5258/s (Ø    5229/s) | Fehler 0 | Tamper 0/2605 | RSS 2104 kB
[ 2100.0s]     10984357 Runden |    5282/s (Ø    5231/s) | Fehler 0 | Tamper 0/2682 | RSS 2104 kB
[ 2160.0s]     11302379 Runden |    5300/s (Ø    5233/s) | Fehler 0 | Tamper 0/2760 | RSS 2104 kB
[ 2220.0s]     11612777 Runden |    5173/s (Ø    5231/s) | Fehler 0 | Tamper 0/2836 | RSS 2104 kB
[ 2280.0s]     11926922 Runden |    5236/s (Ø    5231/s) | Fehler 0 | Tamper 0/2912 | RSS 2104 kB
[ 2340.0s]     12241699 Runden |    5246/s (Ø    5231/s) | Fehler 0 | Tamper 0/2989 | RSS 2104 kB
[ 2400.0s]     12554739 Runden |    5217/s (Ø    5231/s) | Fehler 0 | Tamper 0/3066 | RSS 2104 kB
[ 2460.0s]     12868242 Runden |    5225/s (Ø    5231/s) | Fehler 0 | Tamper 0/3142 | RSS 2104 kB
[ 2520.0s]     13178983 Runden |    5179/s (Ø    5230/s) | Fehler 0 | Tamper 0/3218 | RSS 2104 kB
[ 2580.0s]     13496820 Runden |    5297/s (Ø    5231/s) | Fehler 0 | Tamper 0/3296 | RSS 2104 kB
[ 2640.0s]     13812614 Runden |    5263/s (Ø    5232/s) | Fehler 0 | Tamper 0/3373 | RSS 2104 kB
